	sale date	address	neighborhood	gush	helka	asset-type	rooms	floor	area	price
0	17/10/2021	ההגנה 30	מוצקין הותיקה	10429	98	דירה בבית קומות	4	שלישית	74	915,000
1	14/10/2021	ברק 15	מוצקין הותיקה	11562	84	דירה בבית קומות	4	חמישית	131	1,900,000
2	12/10/2021	ויצמן 66	מוצקין הותיקה	10430	434	דירה בבית קומות	4	רביעית	115	1,200,000
3	11/10/2021	אושה 12	מוצקין הותיקה	11562	90	דירה בבית קומות	5	שניה	105	1,090,000
4	07/10/2021	דבורה 17	מוצקין הותיקה	11577	68	דירה בבית קומות	3	קרקע	75	1,150,000
5	26/09/2021	הרב הרצוג 4	מוצקין הותיקה	10430	293	דירה בבית קומות	3	קרקע	69	1,750,000
6	22/09/2021	רמז 5	מוצקין הותיקה	11577	9	דירה בבית קומות	4	רביעית	101	1,140,000
7	19/09/2021	רוקח 15	מוצקין הותיקה	10429	136	דירה בבית קומות	3	שניה	74	920,000
8	19/09/2021	גושן משה 36	מוצקין הותיקה	11562	24	דירה בבית קומות	4	ראשונה	71	1,070,000
9	15/09/2021	ויצמן 74	מוצקין הותיקה	10430	250	דירת גן	4	שניה	100	1,030,000
10	14/09/2021	ההגנה 24	מוצקין הותיקה	10429	101	דירה בבית קומות	4	שלישית	76	820,000
11	13/09/2021	סנש חנה 18	מוצקין הותיקה	10428	70	דירה בבית קומות	3	שלישית	70	670,000
12	13/09/2021	ברק 31	מוצקין הותיקה	11562	11	דירת גן	1	שניה	35	370,000
13	12/09/2021	דבורה 18	מוצקין הותיקה	11562	101	דירה בבית קומות	4	רביעית	86	1,200,000
14	06/09/2021	כצנלסון 2	מוצקין הותיקה	11577	88	דירה בבית קומות	4	ראשונה	107	940,000
15	03/09/2021	אורן 20	מוצקין הותיקה	11577	42	דירת גן	3	שלישית	83	1,270,000
16	02/09/2021	"רנ""ס 8"	מוצקין הותיקה	10429	112	דירה בבית קומות	4	שלישית	80	830,000
17	02/09/2021	הקרב 1	מוצקין הותיקה	11562	26	דירה	5		115	1,700,000
18	01/09/2021	אורן 19	מוצקין הותיקה	11562	111	דירה בבית קומות	1	שניה	24	420,000
19	31/08/2021	ההגנה 22	מוצקין הותיקה	11577	139	דירה בבית קומות	2	שניה	50	610,000
20	26/08/2021	סנש חנה 12	מוצקין הותיקה	10429	174	דירה בבית קומות	3	שלישית	77	735,000
21	25/08/2021	ברק 20	מוצקין הותיקה	10429	102	דירה בבית קומות	4	רביעית	104	1,580,000
22	23/08/2021	כצנלסון 9	מוצקין הותיקה	10428	133	דירה בבית קומות	3	ראשונה	86	715,000
23	22/08/2021	ברק 5	מוצקין הותיקה	11577	66	דירה בבית קומות	4	ראשונה	109	970,000
24	19/08/2021	סנש חנה 10	מוצקין הותיקה	11577	114	דירה בבית קומות	4	שניה	88	950,000
25	19/08/2021	עכו 83	מוצקין הותיקה	11562	95	דירה בבית קומות	5	ראשונה	125	2,640,000
26	16/08/2021	"רנ""ס 8"	מוצקין הותיקה	10428	133	דירה בבית קומות	2	ראשונה	35	435,000
27	15/08/2021	סנש חנה 25	מוצקין הותיקה	10429	86	דירה בבית קומות	4	ראשונה	100	880,000
28	12/08/2021	ההגנה 18	מוצקין הותיקה	11562	26	דירה	5	שלישית	115	1,660,000
29	10/08/2021	ויצמן 14	מוצקין הותיקה	10428	161	דירה בבית קומות	1	ראשונה	26	405,000
30	08/08/2021	סנש חנה 4	מוצקין הותיקה	10429	104	דירה בבית קומות	4	שניה	102	1,022,000
31	03/08/2021	גורדון 5	מוצקין הותיקה	10428	144	דירה בבית קומות	2	שניה	57	600,000
32	03/08/2021	סנש חנה 23	מוצקין הותיקה	10428	131	דירה בבית קומות	2	קרקע	37	670,000
33	03/08/2021	גושן משה 76	מוצקין הותיקה	10430	421	דירה בבית קומות	4	רביעית	99	760,000
34	02/08/2021	ויצמן 14	מוצקין הותיקה	10428	160	דירה בבית קומות	4	קרקע	100	850,000
35	01/08/2021	הילדים 13	מוצקין הותיקה	11564	93	דירה בבית קומות	3	שלישית	90	910,000
36	29/07/2021	עכו 89	מוצקין הותיקה	10428	144	דירה בבית קומות	2	קרקע	88	775,000
37	29/07/2021	סנש חנה 25	מוצקין הותיקה	10428	67	דירה בבית קומות	5	שניה	118	1,500,000
38	29/07/2021	סנש חנה 4	מוצקין הותיקה	10429	91	דירה בבית קומות	4	שניה	99	900,000
39	28/07/2021	"רנ""ס 8"	מוצקין הותיקה	10428	161	דירה בבית קומות	1	ראשונה	26	390,000
40	27/07/2021	ההגנה 32	מוצקין הותיקה	10428	131	דירת גן	2	ראשונה	30	485,000
41	26/07/2021	רוקח 15	מוצקין הותיקה	11562	26	דירה בבית קומות	5	רביעית	115	1,660,000
42	26/07/2021	יעל 33	מוצקין הותיקה	10430	413	דירה בבית קומות	4	שלישית	100	965,000
43	26/07/2021	"רנ""ס 8"	מוצקין הותיקה	10429	136	דירה בבית קומות	3	שלישית	87	860,000
44	26/07/2021	אוסישקין 42	מוצקין הותיקה	11564	162	דירה	5	חמישית	133	1,930,000
45	25/07/2021	ציפורן 2	מוצקין הותיקה	11562	26	דירה	5		115	1,660,000
46	25/07/2021	ההגנה 28	מוצקין הותיקה	10428	14	דירה בבית קומות	2	קרקע	70	680,000
